Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario	1.2
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	9.81341637					78			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	7.583094464					79			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	5.352772564					80			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	5.106263301					81			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	4.859754039					82			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	4.613244776					83			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	4.366735513					84			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	4.12022625					85			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	3.873716987					86			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	3.627207725					87			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	3.380698462					88			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	3.134189199					89			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	2.887679936					90			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	2.641170673					91			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	2.39466141					92			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	2.148152148					93			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	1.901642885					94			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	1.655133622					95			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	1.408624359					96			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	1.162115096					97			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	0.915605834					98			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	0.669096571					99			
PT_EL_H2Storage			offer_price	2010-01-01	2100-01-01	0.422587307					100			
